dataset_type	num_seeds	seed	config_L	config_m	task_name	model_variant	checkpoint_step	model_id	eval_type	context_size	control_type	sequence_id	target_config_L	target_config_m	source_seeds	appears_in_training	accuracy	num_correct	evaluation_timestamp	training_phase	shuffle_before_packing	seed_balanced_batching
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	24	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.317389	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	25	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.321613	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	26	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.325579	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	27	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.329552	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	28	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.333509	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	29	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.337443	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	30	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.341335	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	31	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.345270	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	32	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.349191	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	33	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.353164	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	34	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.357052	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	35	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.360988	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	36	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.364888	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	37	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.368808	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	38	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.372719	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	39	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.376693	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	40	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.380641	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	41	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.384592	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	42	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.388543	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	43	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.392504	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	44	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.396476	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	45	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.400428	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	46	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.404335	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	47	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.408291	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	48	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.412228	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	49	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.416122	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	50	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.420056	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	51	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.423936	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	52	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.427863	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	53	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.431754	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	54	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.435672	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	55	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.439554	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	56	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.443433	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	57	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.447384	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	58	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.451277	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	59	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.455232	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	60	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.459166	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	61	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.463123	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	62	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.467011	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	63	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.470946	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	64	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.474865	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	65	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.478760	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	66	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.482682	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	67	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.486630	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	68	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.490526	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	69	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.494398	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	70	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.498299	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	71	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.502183	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	72	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.506128	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	73	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.510099	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	74	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.513959	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	75	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.517911	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	76	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.521825	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	77	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.525720	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	78	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.529660	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	79	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.533547	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	80	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.537430	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	81	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.541284	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	82	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.545159	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	83	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.549062	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	84	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.552975	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	85	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.556889	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	86	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.560792	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	87	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.564724	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	88	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.568626	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	89	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.572528	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	90	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.576402	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	91	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.580366	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	92	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.584281	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	93	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.588174	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	94	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.592120	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	95	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.596014	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	96	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.599881	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	97	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.603823	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	98	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.607747	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	99	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.611614	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	100	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.615589	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	101	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.619502	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	102	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.623391	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	103	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.627334	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	104	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.631219	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	105	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.635092	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	106	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.639041	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	107	5	2	[200001]	False	1.0	1	2025-08-22 19:18:35.642927	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	108	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.646851	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	109	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.650731	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	110	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.654611	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	111	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.658626	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	112	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.662513	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	113	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.666457	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	114	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.672989	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	115	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.677812	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	116	5	2	[200001]	False	0.0	0	2025-08-22 19:18:35.682024	late	False	True
